"Title",Rate,"Category",Year
"Mission: Impossible - Ghost Protocol",7.4,"Action, Adventure, Thriller",2011
"Law Abiding Citizen",7.4,"Action, Crime, Drama",2009
"Black Dynamite",7.4,"Action, Comedy",2009
"[Rec]",7.4,"Action, Adventure, Horror",2007
"Der Baader Meinhof Komplex",7.4,"Action, Biography, Crime",2008
"Wonder Woman",7.4,"Action, Adventure, Fantasy",2017
"Chi bi",7.4,"Action, Adventure, Drama",2008
"Running Scared",7.4,"Action, Crime, Drama",2006
"Open Range",7.4,"Action, Drama, Romance",2003
"Master and Commander: The Far Side of the World",7.4,"Action, Adventure, Drama",2003
"X2",7.4,"Action, Sci-Fi, Thriller",2003
"Equilibrium",7.4,"Action, Drama, Sci-Fi",2002
"X-Men",7.4,"Action, Adventure, Sci-Fi",2000
"The Rock",7.4,"Action, Adventure, Thriller",1996
"Assault on Precinct 13",7.4,"Action, Crime, Thriller",1976
"Jing wu men",7.4,"Action, Drama, Romance",1972
"The Getaway",7.4,"Action, Crime, Thriller",1972
"Get Carter",7.4,"Action, Crime, Thriller",1971
"Bullitt",7.4,"Action, Crime, Thriller",1968
"From Russia with Love",7.4,"Action, Adventure, Thriller",1963
"El Camino: A Breaking Bad Movie",7.3,"Action, Crime, Drama",2019
"13 Hours",7.3,"Action, Drama, History",2016
"The Lego Batman Movie",7.3,"Animation, Action, Comedy",2017
"Okja",7.3,"Action, Adventure, Drama",2017
"Avengers: Age of Ultron",7.3,"Action, Adventure, Sci-Fi",2015
"American Sniper",7.3,"Action, Biography, Drama",2014
"The Accountant",7.3,"Action, Crime, Drama",2016
"Eye in the Sky",7.3,"Action, Drama, Thriller",2015
"Black Panther",7.3,"Action, Adventure, Sci-Fi",2018
"The Man from U.N.C.L.E.",7.3,"Action, Adventure, Comedy",2015
"Fast Five",7.3,"Action, Adventure, Crime",2011
"Rise of the Guardians",7.3,"Animation, Action, Adventure",2012
"Ghajini",7.3,"Action, Drama, Mystery",2008
"RocknRolla",7.3,"Action, Crime, Thriller",2008
"Max Manus",7.3,"Action, Biography, Drama",2008
"The Adventures of Tintin",7.3,"Animation, Action, Adventure",2011
"Joheunnom nabbeunnom isanghannom",7.3,"Action, Adventure, Comedy",2008
"Ant-Man",7.3,"Action, Adventure, Comedy",2015
"Rescue Dawn",7.3,"Action, Biography, Drama",2006
"Alita: Battle Angel",7.3,"Action, Adventure, Sci-Fi",2019
"Brick",7.3,"Action, Crime, Drama",2005
"Pirates of the Caribbean: Dead Man's Chest",7.3,"Action, Adventure, Fantasy",2006
"Layer Cake",7.3,"Action, Crime, Drama",2004
"Dawn of the Dead",7.3,"Action, Horror",2004
"The Life Aquatic with Steve Zissou",7.3,"Action, Adventure, Comedy",2004
"Spider-Man 2",7.3,"Action, Adventure, Sci-Fi",2004
"Siu Lam juk kau",7.3,"Action, Comedy, Family",2001
"Spider-Man",7.3,"Action, Adventure, Sci-Fi",2002
"Ronin",7.3,"Action, Crime, Thriller",1998
"The Negotiator",7.3,"Action, Crime, Drama",1998
"Enemy of the State",7.3,"Action, Thriller",1998
"Men in Black",7.3,"Action, Adventure, Comedy",1997
"Grosse Pointe Blank",7.3,"Action, Comedy, Crime",1997
"Face/Off",7.3,"Action, Crime, Sci-Fi",1997
"Crimson Tide",7.3,"Action, Drama, Thriller",1995
"Natural Born Killers",7.3,"Action, Crime, Drama",1994
"Point Break",7.3,"Action, Crime, Thriller",1991
"Nikita",7.3,"Action, Thriller",1990
"Willow",7.3,"Action, Adventure, Drama",1988
"They Live",7.3,"Action, Horror, Sci-Fi",1988
"The Transformers: The Movie",7.3,"Animation, Action, Adventure",1986
"Big Trouble in Little China",7.3,"Action, Adventure, Comedy",1986
"To Live and Die in L.A.",7.3,"Action, Crime, Drama",1985
"Beverly Hills Cop",7.3,"Action, Comedy, Crime",1984
"Superman",7.3,"Action, Adventure, Drama",1978
"Meng long guo jiang",7.3,"Action, Adventure, Crime",1972
"The Italian Job",7.3,"Action, Comedy, Crime",1969
"Anthropoid",7.2,"Action, Biography, Drama",2016
"The Siege of Jadotville",7.2,"Action, Drama, History",2016
"Bajirao Mastani",7.2,"Action, Drama, History",2015
"American Made",7.2,"Action, Biography, Comedy",2017
"'71",7.2,"Action, Crime, Drama",2014
"Dragon Ball Z: Doragon bôru Z - Kami to Kami",7.2,"Animation, Action, Adventure",2013
"War Horse",7.2,"Action, Adventure, Drama",2011
"The Hunger Games",7.2,"Action, Adventure, Sci-Fi",2012
"Kung Fu Panda 2",7.2,"Animation, Action, Adventure",2011
"Iron Man Three",7.2,"Action, Adventure, Sci-Fi",2013
"Harry Brown",7.2,"Action, Crime, Drama",2009
"21 Jump Street",7.2,"Action, Comedy, Crime",2012
"Micmacs à tire-larigot",7.2,"Action, Comedy, Crime",2009
"Megamind",7.2,"Animation, Action, Comedy",2010
"The Croods",7.2,"Animation, Action, Adventure",2013
"I Am Legend",7.2,"Action, Adventure, Drama",2007
"The Equalizer",7.2,"Action, Crime, Thriller",2014
"Mongol",7.2,"Action, Biography, Drama",2007
"Banlieue 13",7.2,"Action, Crime, Sci-Fi",2004
"Friday Night Lights",7.2,"Action, Drama, Sport",2004
"Fainaru fantajî sebun adobento chirudoren",7.2,"Animation, Action, Adventure",2005
"Team America: World Police",7.2,"Action, Comedy",2004
"Ong-bak",7.2,"Action, Crime, Thriller",2003
"King Kong",7.2,"Action, Adventure, Drama",2005
"Kingdom of Heaven",7.2,"Action, Adventure, Drama",2005
"We Were Soldiers",7.2,"Action, Drama, History",2002
"The Matrix Reloaded",7.2,"Action, Sci-Fi",2003
"The Patriot",7.2,"Action, Drama, History",2000
"Starship Troopers",7.2,"Action, Adventure, Sci-Fi",1997
"From Dusk Till Dawn",7.2,"Action, Crime, Horror",1996
"Strange Days",7.2,"Action, Crime, Drama",1995
"GoldenEye",7.2,"Action, Adventure, Thriller",1995
"Desperado",7.2,"Action, Crime, Thriller",1995
"True Lies",7.2,"Action, Comedy, Thriller",1994
"Speed",7.2,"Action, Adventure, Thriller",1994
"In the Line of Fire",7.2,"Action, Crime, Drama",1993
"Star Trek VI: The Undiscovered Country",7.2,"Action, Adventure, Sci-Fi",1991
"Die Hard 2",7.2,"Action, Thriller",1990
"Lethal Weapon 2",7.2,"Action, Crime, Thriller",1989
"The Hitcher",7.2,"Action, Thriller",1986
"Silverado",7.2,"Action, Crime, Drama",1985
"Runaway Train",7.2,"Action, Adventure, Drama",1985
"The Karate Kid",7.2,"Action, Drama, Family",1984
"Escape from New York",7.2,"Action, Adventure, Sci-Fi",1981
"Magnum Force",7.2,"Action, Crime, Mystery",1973
"Vanishing Point",7.2,"Action, Crime, Thriller",1971
"Dr. No",7.2,"Action, Adventure, Thriller",1962
"Brawl in Cell Block 99",7.1,"Action, Crime, Drama",2017
"Ant-Man and the Wasp",7.1,"Action, Adventure, Comedy",2018
"Sicario: Day of the Soldado",7.1,"Action, Adventure, Crime",2018
"Allied",7.1,"Action, Drama, Romance",2016
"Yip Man 3",7.1,"Action, Biography, Drama",2015
"Fast & Furious 7",7.1,"Action, Adventure, Thriller",2015
"Everest",7.1,"Action, Adventure, Biography",2015
"Star Trek Beyond",7.1,"Action, Adventure, Sci-Fi",2016
"Kung Fu Panda 3",7.1,"Animation, Action, Adventure",2016
"Furious 6",7.1,"Action, Adventure, Thriller",2013
"Deepwater Horizon",7.1,"Action, Drama, History",2016
"Snowpiercer",7.1,"Action, Drama, Sci-Fi",2013
"Yip Man chin chyun",7.1,"Action, Biography, Drama",2010
"Dredd",7.1,"Action, Crime, Sci-Fi",2012
"Don 2",7.1,"Action, Crime, Thriller",2011
"Bronson",7.1,"Action, Biography, Crime",2008
"Planet Terror",7.1,"Action, Adventure, Comedy",2007
"Body of Lies",7.1,"Action, Drama, Thriller",2008
"Rocky Balboa",7.1,"Action, Drama, Sport",2006
"Gwoemul",7.1,"Action, Drama, Horror",2006
"Pirates of the Caribbean: At World's End",7.1,"Action, Adventure, Fantasy",2007
"Shazam!",7.1,"Action, Adventure, Comedy",2019
"Real Steel",7.1,"Action, Drama, Family",2011
"Tom yum goong",7.1,"Action, Crime, Drama",2005
"Flags of Our Fathers",7.1,"Action, Adventure, Drama",2006
"I, Robot",7.1,"Action, Drama, Sci-Fi",2004
"Live Free or Die Hard",7.1,"Action, Thriller",2007
"Spy Game",7.1,"Action, Crime, Thriller",2001
"Pitch Black",7.1,"Action, Horror, Sci-Fi",2000
"Blade",7.1,"Action, Horror, Sci-Fi",1998
"Three Kings",7.1,"Action, Adventure, Comedy",1999
"Mission: Impossible",7.1,"Action, Adventure, Thriller",1996
"Stargate",7.1,"Action, Adventure, Sci-Fi",1994
"No Way Out",7.1,"Action, Crime, Drama",1987
"The Monster Squad",7.1,"Action, Comedy, Fantasy",1987
"Highlander",7.1,"Action, Adventure, Fantasy",1986
"WarGames",7.1,"Action, Adventure, Drama",1983
"The Spy Who Loved Me",7.1,"Action, Adventure, Thriller",1977
"The Poseidon Adventure",7.1,"Action, Adventure, Drama",1972
"The War of the Worlds",7.1,"Action, Sci-Fi, Thriller",1953
"Dragged Across Concrete",7.0,"Action, Crime, Drama",2018
"Sultan",7.0,"Action, Drama, Sport",2016
"Spy",7.0,"Action, Comedy, Crime",2015
"A Most Violent Year",7.0,"Action, Crime, Drama",2014
"Star Wars: Episode VIII - The Last Jedi",7.0,"Action, Adventure, Fantasy",2017
"22 Jump Street",7.0,"Action, Comedy, Crime",2014
"Maleficent",7.0,"Action, Adventure, Family",2014
"Get the Gringo",7.0,"Action, Crime, Drama",2012
"Aquaman",7.0,"Action, Adventure, Fantasy",2018
"Den of Thieves",7.0,"Action, Crime, Drama",2018
"RED",7.0,"Action, Comedy, Crime",2010
"Iron Man 2",7.0,"Action, Adventure, Sci-Fi",2010
"The World's End",7.0,"Action, Comedy, Sci-Fi",2013
"Cloverfield",7.0,"Action, Adventure, Horror",2008
"Death Proof",7.0,"Action, Adventure, Thriller",2007
"Traitor",7.0,"Action, Crime, Drama",2008
"Tropic Thunder",7.0,"Action, Comedy, War",2008
"Tau ming chong",7.0,"Action, Adventure, Drama",2007
"Son of Rambow",7.0,"Action, Adventure, Comedy",2007
"World War Z",7.0,"Action, Adventure, Horror",2013
"Thor",7.0,"Action, Adventure, Fantasy",2011
"Jack Reacher",7.0,"Action, Thriller",2012
"Man of Steel",7.0,"Action, Adventure, Sci-Fi",2013
"Man cheng jin dai huang jin jia",7.0,"Action, Adventure, Drama",2006
"Rambo",7.0,"Action, Thriller",2008
"Deja Vu",7.0,"Action, Crime, Sci-Fi",2006
"The Kingdom",7.0,"Action, Drama, Thriller",2007
"Jarhead",7.0,"Action, Biography, Drama",2005
"Transformers",7.0,"Action, Adventure, Sci-Fi",2007
"Hellboy II: The Golden Army",7.0,"Action, Adventure, Fantasy",2008
"Jurassic World",7.0,"Action, Adventure, Sci-Fi",2015
"Constantine",7.0,"Action, Fantasy, Horror",2005
"Main Hoon Na",7.0,"Action, Comedy, Drama",2004
"Unleashed",7.0,"Action, Adventure, Crime",2005
"Underworld",7.0,"Action, Fantasy, Thriller",2003
"The Italian Job",7.0,"Action, Crime, Thriller",2003
"Koroshiya 1",7.0,"Action, Comedy, Crime",2001
"The Last Castle",7.0,"Action, Drama, Thriller",2001
"Le pacte des loups",7.0,"Action, Adventure, Drama",2001
"Rush Hour",7.0,"Action, Comedy, Crime",1998
"The Mummy",7.0,"Action, Adventure, Fantasy",1999
"Fallen",7.0,"Action, Crime, Drama",1998
"Independence Day",7.0,"Action, Adventure, Sci-Fi",1996
"Maverick",7.0,"Action, Adventure, Comedy",1994
"Dragon: The Bruce Lee Story",7.0,"Action, Biography, Drama",1993
"Batman Returns",7.0,"Action, Crime, Fantasy",1992
"The Last Boy Scout",7.0,"Action, Comedy, Crime",1991
"Near Dark",7.0,"Action, Crime, Drama",1987
"Smokey and the Bandit",7.0,"Action, Comedy",1977
"The Towering Inferno",7.0,"Action, Drama, Thriller",1974
"Death Wish",7.0,"Action, Crime, Drama",1974
"Westworld",7.0,"Action, Sci-Fi, Thriller",1973
"Thunderball",7.0,"Action, Adventure, Thriller",1965
"Outlaw King",6.9,"Action, Biography, Drama",2018
"Captain Marvel",6.9,"Action, Adventure, Sci-Fi",2019
"Solo: A Star Wars Story",6.9,"Action, Adventure, Sci-Fi",2018
"X-Men: Apocalypse",6.9,"Action, Adventure, Sci-Fi",2016
"Slow West",6.9,"Action, Adventure, Drama",2015
"The Magnificent Seven",6.9,"Action, Adventure, Western",2016
"Jumanji: Welcome to the Jungle",6.9,"Action, Adventure, Comedy",2017
"Non-Stop",6.9,"Action, Mystery, Thriller",2014
"All Is Lost",6.9,"Action, Adventure, Drama",2013
"Thor: The Dark World",6.9,"Action, Adventure, Fantasy",2013
"The Hitman's Bodyguard",6.9,"Action, Comedy, Crime",2017
"Pacific Rim",6.9,"Action, Adventure, Sci-Fi",2013
"What Happened to Monday",6.9,"Action, Adventure, Crime",2017
"In the Heart of the Sea",6.9,"Action, Adventure, Biography",2015
