"Title",Rate,"Category",Year
"The Constant Gardener",7.4,"Drama, Mystery, Romance",2005
"Irréversible",7.4,"Crime, Drama, Mystery",2002
"X2",7.4,"Action, Sci-Fi, Thriller",2003
"Equilibrium",7.4,"Action, Drama, Sci-Fi",2002
"Pi",7.4,"Drama, Horror, Mystery",1998
"The Talented Mr. Ripley",7.4,"Crime, Drama, Thriller",1999
"Eyes Wide Shut",7.4,"Drama, Mystery, Thriller",1999
"Contact",7.4,"Drama, Mystery, Sci-Fi",1997
"Tesis",7.4,"Horror, Mystery, Thriller",1996
"The Rock",7.4,"Action, Adventure, Thriller",1996
"Pusher",7.4,"Crime, Thriller",1996
"Dolores Claiborne",7.4,"Crime, Drama, Mystery",1995
"Witness",7.4,"Crime, Drama, Romance",1985
"Body Heat",7.4,"Crime, Drama, Romance",1981
"Blow Out",7.4,"Mystery, Thriller",1981
"The China Syndrome",7.4,"Drama, Thriller",1979
"...and justice for all.",7.4,"Crime, Drama, Thriller",1979
"Murder by Death",7.4,"Comedy, Crime, Mystery",1976
"Assault on Precinct 13",7.4,"Action, Crime, Thriller",1976
"Three Days of the Condor",7.4,"Mystery, Thriller",1975
"Jing wu men",7.4,"Action, Drama, Romance",1972
"The Getaway",7.4,"Action, Crime, Thriller",1972
"Frenzy",7.4,"Thriller",1972
"Get Carter",7.4,"Action, Crime, Thriller",1971
"Bullitt",7.4,"Action, Crime, Thriller",1968
"From Russia with Love",7.4,"Action, Adventure, Thriller",1963
"To Catch a Thief",7.4,"Mystery, Romance, Thriller",1955
"Suspicion",7.4,"Mystery, Thriller",1941
"Hereditary",7.3,"Drama, Horror, Mystery",2018
"The Shape of Water",7.3,"Adventure, Drama, Fantasy",2017
"Detroit",7.3,"Crime, Drama, History",2017
"Shot Caller",7.3,"Crime, Drama, Thriller",2017
"13 Hours",7.3,"Action, Drama, History",2016
"Snowden",7.3,"Biography, Crime, Drama",2016
"La isla mínima",7.3,"Adventure, Crime, Horror",2014
"The Conjuring 2",7.3,"Horror, Mystery, Thriller",2016
"The Accountant",7.3,"Action, Crime, Drama",2016
"Eye in the Sky",7.3,"Action, Drama, Thriller",2015
"The Place Beyond the Pines",7.3,"Crime, Drama, Thriller",2012
"Fast Five",7.3,"Action, Adventure, Crime",2011
"The Guard",7.3,"Comedy, Crime, Thriller",2011
"Kynodontas",7.3,"Drama, Thriller",2009
"Luftslottet som sprängdes",7.3,"Crime, Drama, Thriller",2009
"The Lincoln Lawyer",7.3,"Crime, Drama, Thriller",2011
"Ghajini",7.3,"Action, Drama, Mystery",2008
"RocknRolla",7.3,"Action, Crime, Thriller",2008
"Mr. Brooks",7.3,"Crime, Drama, Thriller",2007
"Rescue Dawn",7.3,"Action, Biography, Drama",2006
"Alita: Battle Angel",7.3,"Action, Adventure, Sci-Fi",2019
"Sweeney Todd: The Demon Barber of Fleet Street",7.3,"Drama, Horror, Musical",2007
"Brick",7.3,"Action, Crime, Drama",2005
