"Title",Rate,"Category",Year
"The Client",6.7,"Crime, Drama, Mystery",1994
"Backdraft",6.7,"Crime, Drama, Mystery",1991
"Pokémon Detective Pikachu",6.6,"Adventure, Comedy, Family",2019
"Mother!",6.6,"Drama, Horror, Mystery",2017
"Overlord",6.6,"Action, Adventure, Horror",2018
"Ad Astra",6.6,"Adventure, Drama, Mystery",2019
"Midnight Special",6.6,"Drama, Mystery, Sci-Fi",2016
"Insidious: Chapter 2",6.6,"Horror, Mystery, Thriller",2013
"Edge of Darkness",6.6,"Crime, Drama, Mystery",2010
"Eagle Eye",6.6,"Action, Mystery, Thriller",2008
"Blindness",6.6,"Drama, Mystery, Sci-Fi",2008
"Puss in Boots",6.6,"Animation, Adventure, Comedy",2011
"Vantage Point",6.6,"Action, Crime, Drama",2008
"Saw II",6.6,"Horror, Mystery",2005
"Monster House",6.6,"Animation, Adventure, Comedy",2006
"The Da Vinci Code",6.6,"Mystery, Thriller",2006
"The Manchurian Candidate",6.6,"Drama, Mystery, Sci-Fi",2004
"Secret Window",6.6,"Drama, Mystery, Thriller",2004
"The Gift",6.6,"Drama, Fantasy, Horror",2000
"Joy Ride",6.6,"Mystery, Thriller",2001
"What Lies Beneath",6.6,"Drama, Fantasy, Horror",2000
"True Crime",6.6,"Crime, Drama, Mystery",1999
"Midnight in the Garden of Good and Evil",6.6,"Crime, Drama, Mystery",1997
"Kiss the Girls",6.6,"Crime, Drama, Mystery",1997
"Stealing Beauty",6.6,"Drama, Mystery, Romance",1996
"Courage Under Fire",6.6,"Action, Drama, Mystery",1996
"Powder",6.6,"Drama, Fantasy, Mystery",1995
"Copycat",6.6,"Drama, Mystery, Thriller",1995
"Star Trek: Generations",6.6,"Action, Adventure, Mystery",1994
"The Pelican Brief",6.6,"Crime, Drama, Mystery",1993
"Under the Silver Lake",6.5,"Crime, Drama, Mystery",2018
"Happy Death Day",6.5,"Horror, Mystery, Thriller",2017
"Annabelle: Creation",6.5,"Horror, Mystery, Thriller",2017
"The Girl on the Train",6.5,"Crime, Drama, Mystery",2016
"Murder on the Orient Express",6.5,"Crime, Drama, Mystery",2017
"Now You See Me 2",6.5,"Action, Adventure, Comedy",2016
"Crimson Peak",6.5,"Drama, Fantasy, Horror",2015
"Oculus",6.5,"Horror, Mystery",2013
"Self/less",6.5,"Action, Mystery, Sci-Fi",2015
"You're Next",6.5,"Horror, Mystery, Thriller",2011
"The Double",6.5,"Comedy, Drama, Mystery",2013
"Horns",6.5,"Comedy, Crime, Drama",2013
"The Lucky One",6.5,"Drama, Mystery, Romance",2012
"A Perfect Getaway",6.5,"Drama, Mystery, Thriller",2009
"Sleuth",6.5,"Crime, Drama, Mystery",2007
"National Treasure: Book of Secrets",6.5,"Action, Adventure, Family",2007
"Hollywoodland",6.5,"Biography, Crime, Drama",2006
"The Skeleton Key",6.5,"Drama, Horror, Mystery",2005
"The Village",6.5,"Drama, Mystery, Thriller",2004
"A Walk Among the Tombstones",6.5,"Action, Crime, Drama",2014
"Spartan",6.5,"Action, Crime, Drama",2004
"Basic",6.5,"Action, Crime, Drama",2003
"Awake",6.5,"Crime, Drama, Mystery",2007
"The Blair Witch Project",6.5,"Horror, Mystery",1999
"Double Jeopardy",6.5,"Crime, Drama, Mystery",1999
"8MM",6.5,"Mystery, Thriller",1999
"Wild Things",6.5,"Crime, Drama, Mystery",1998
"The Prophecy",6.5,"Action, Crime, Drama",1995
"Friday the 13th",6.5,"Horror, Mystery, Thriller",1980
"Unsane",6.4,"Drama, Horror, Mystery",2018
"A Cure for Wellness",6.4,"Drama, Fantasy, Horror",2016
"Project Almanac",6.4,"Drama, Mystery, Sci-Fi",2015
"Muppets Most Wanted",6.4,"Adventure, Comedy, Crime",2014
"White Bird in a Blizzard",6.4,"Drama, Mystery, Thriller",2014
"Europa Report",6.4,"Drama, Mystery, Sci-Fi",2013
"Tomorrowland",6.4,"Action, Adventure, Family",2015
"Kill List",6.4,"Action, Crime, Drama",2011
"Before I Fall",6.4,"Drama, Fantasy, Mystery",2017
"Flypaper",6.4,"Comedy, Crime, Mystery",2011
"Black Death",6.4,"Action, Drama, History",2010
"Salt",6.4,"Action, Mystery, Thriller",2010
"The Number 23",6.4,"Crime, Mystery, Thriller",2007
"Hoodwinked!",6.4,"Animation, Comedy, Crime",2005
"The Interpreter",6.4,"Crime, Mystery, Thriller",2005
"Revolver",6.4,"Action, Crime, Drama",2005
"Blood Work",6.4,"Action, Crime, Drama",2002
"Mindhunters",6.4,"Crime, Horror, Mystery",2004
"The Mothman Prophecies",6.4,"Drama, Horror, Mystery",2002
