"Title",Rate,"Category",Year
"Warm Bodies",6.9,"Comedy, Horror, Romance",2013
"Orphan",6.9,"Horror, Mystery, Thriller",2009
"Frankenweenie",6.9,"Animation, Comedy, Family",2012
"Les rivières pourpres",6.9,"Crime, Horror, Mystery",2000
"Shadow of the Vampire",6.9,"Drama, Horror",2000
"Night of the Living Dead",6.9,"Horror",1990
"Creepshow",6.9,"Comedy, Fantasy, Horror",1982
"Altered States",6.9,"Horror, Sci-Fi, Thriller",1980
"The House That Jack Built",6.8,"Crime, Drama, Horror",2018
"Housebound",6.8,"Comedy, Horror, Mystery",2014
"The Autopsy of Jane Doe",6.8,"Horror, Mystery, Thriller",2016
"It Follows",6.8,"Horror, Mystery, Thriller",2014
"The Babadook",6.8,"Drama, Horror",2014
"Eliza Graves",6.8,"Drama, Horror, Thriller",2014
"Odd Thomas",6.8,"Comedy, Fantasy, Horror",2013
"Eden Lake",6.8,"Horror, Thriller",2008
"Trick 'r Treat",6.8,"Comedy, Horror",2007
"À l'intérieur",6.8,"Horror",2007
"1408",6.8,"Fantasy, Horror, Mystery",2007
"The Devil's Rejects",6.8,"Horror",2005
"Haute tension",6.8,"Horror",2003
"Dog Soldiers",6.8,"Action, Horror, Thriller",2002
"Ginger Snaps",6.8,"Drama, Fantasy, Horror",2000
"Hellboy",6.8,"Action, Fantasy, Horror",2004
"eXistenZ",6.8,"Horror, Sci-Fi, Thriller",1999
"From Hell",6.8,"Horror, Mystery, Thriller",2001
"The Witches",6.8,"Adventure, Comedy, Family",1990
"Dead Calm",6.8,"Horror, Thriller",1989
"Scanners",6.8,"Horror, Sci-Fi, Thriller",1981
"The Fog",6.8,"Horror, Thriller",1980
"Phantasm",6.8,"Horror, Sci-Fi",1979
"Summer of 84",6.7,"Drama, Horror, Mystery",2018
"Turbo Kid",6.7,"Action, Adventure, Comedy",2015
"Ich seh ich seh",6.7,"Horror, Mystery, Thriller",2014
"Zombieland: Double Tap",6.7,"Action, Comedy, Horror",2019
"Los ojos de Julia",6.7,"Horror, Mystery, Thriller",2010
"Rare Exports",6.7,"Adventure, Fantasy, Horror",2010
"Pandorum",6.7,"Action, Horror, Mystery",2009
"Fido",6.7,"Comedy, Drama, Horror",2006
"The Exorcism of Emily Rose",6.7,"Drama, Horror, Thriller",2005
"Ju-on",6.7,"Horror",2002
"Gin gwai",6.7,"Horror, Mystery",2002
"Honogurai mizu no soko kara",6.7,"Drama, Horror, Mystery",2002
"Final Destination",6.7,"Horror, Thriller",2000
"Blade II",6.7,"Action, Fantasy, Horror",2002
"Resident Evil",6.7,"Action, Horror, Sci-Fi",2002
"Event Horizon",6.7,"Horror, Sci-Fi, Thriller",1997
"Cronos",6.7,"Horror",1993
