"Title",Rate,"Category",Year
"Space Jam",6.4,"Animation, Adventure, Comedy",1996
"Phenomenon",6.4,"Drama, Fantasy, Romance",1996
"Frankenstein",6.4,"Drama, Horror, Romance",1994
"Darkman",6.4,"Action, Sci-Fi, Thriller",1990
"Star Trek: The Motion Picture",6.4,"Adventure, Mystery, Sci-Fi",1979
"Terminator: Dark Fate",6.3,"Action, Adventure, Sci-Fi",2019
"Maze Runner: The Scorch Trials",6.3,"Action, Adventure, Sci-Fi",2015
"Despicable Me 3",6.3,"Animation, Adventure, Comedy",2017
"Criminal",6.3,"Action, Sci-Fi, Thriller",2016
"Dark Skies",6.3,"Horror, Sci-Fi, Thriller",2013
"Spectral",6.3,"Action, Adventure, Sci-Fi",2016
"Ghost in the Shell",6.3,"Action, Crime, Drama",2017
"Repo Men",6.3,"Action, Sci-Fi, Thriller",2010
"Surrogates",6.3,"Action, Sci-Fi, Thriller",2009
"The Nines",6.3,"Drama, Fantasy, Mystery",2007
"Resident Evil: Extinction",6.3,"Action, Horror, Sci-Fi",2007
"Astro Boy",6.3,"Animation, Action, Comedy",2009
"Robots",6.3,"Animation, Adventure, Comedy",2005
"Paycheck",6.3,"Action, Mystery, Sci-Fi",2003
"The Cell",6.3,"Horror, Sci-Fi, Thriller",2000
"Gekijô-ban poketto monsutâ - Myûtsû no gyakushû",6.3,"Animation, Action, Adventure",1998
"Terminator 3: Rise of the Machines",6.3,"Action, Sci-Fi",2003
"Osmosis Jones",6.3,"Animation, Action, Adventure",2001
"Mars Attacks!",6.3,"Comedy, Sci-Fi",1996
"The Arrival",6.3,"Sci-Fi, Thriller",1996
"Forever Young",6.3,"Drama, Romance, Sci-Fi",1992
"Bill & Ted's Bogus Journey",6.3,"Adventure, Comedy, Fantasy",1991
"Predator 2",6.3,"Action, Horror, Sci-Fi",1990
"Honey, I Shrunk the Kids",6.3,"Adventure, Comedy, Family",1989
"Mad Max Beyond Thunderdome",6.3,"Action, Adventure, Sci-Fi",1985
"Moonraker",6.3,"Action, Adventure, Sci-Fi",1979
"Escape from the Planet of the Apes",6.3,"Action, Sci-Fi",1971
"Happy Death Day 2U",6.2,"Comedy, Horror, Mystery",2019
"In the Shadow of the Moon",6.2,"Crime, Mystery, Sci-Fi",2019
"Jurassic World: Fallen Kingdom",6.2,"Action, Adventure, Sci-Fi",2018
